m,n,p,no of procs,itter,error,time
10,10,10,1,1,4.054134933207608,0.04862570762634277
10,10,10,1,2,4.02513107637957,0.04956841468811035
10,10,10,1,3,4.002595997288137,0.04755139350891113
10,10,10,1,4,4.024064698244048,0.04746866226196289
10,10,10,1,5,4.062051593987154,0.048874616622924805
10,10,10,2,1,4.0360728777096915,0.03640270233154297
10,10,10,2,2,4.0371338141372926,0.035959720611572266
10,10,10,2,3,4.008728569805834,0.035875797271728516
10,10,10,2,4,4.051555732721052,0.03537273406982422
10,10,10,2,5,4.00891102071747,0.03511524200439453
10,10,10,3,1,4.006810856502462,0.036237239837646484
10,10,10,3,2,3.98554598643082,0.03476858139038086
10,10,10,3,3,4.015760974804412,0.03512430191040039
10,10,10,3,4,4.031344443479435,0.03466296195983887
10,10,10,3,5,3.989528040710977,0.03464078903198242
10,10,10,4,1,4.006656970531169,0.040621042251586914
10,10,10,4,2,3.989021404162548,0.03258490562438965
10,10,10,4,3,4.000211620665594,0.033030033111572266
10,10,10,4,4,4.013852484748009,0.03256630897521973
10,10,10,4,5,4.028393085642101,0.03195905685424805
10,10,10,5,1,4.060275000114525,0.032080888748168945
10,10,10,5,2,4.037992670715725,0.06170773506164551
10,10,10,5,3,4.017176739710706,0.03162407875061035
10,10,10,5,4,4.03080236398324,0.0404973030090332
10,10,10,5,5,3.9730049787292416,0.03461146354675293
10,10,10,6,1,4.029407795454177,0.06537747383117676
10,10,10,6,2,4.021512748714948,0.03397536277770996
10,10,10,6,3,4.039955546571171,0.033760786056518555
10,10,10,6,4,4.0498189074643305,0.05718684196472168
10,10,10,6,5,4.059770758379299,0.033780574798583984
10,10,10,7,1,4.024223784279822,0.037625789642333984
10,10,10,7,2,4.01787763978362,0.03466224670410156
10,10,10,7,3,4.066510657379024,0.034452199935913086
10,10,10,7,4,4.045808841381598,0.034461021423339844
10,10,10,7,5,3.99602301966116,0.034552574157714844
10,10,10,8,1,4.059689384849004,0.03583788871765137
10,10,10,8,2,4.041111749013743,0.03674936294555664
10,10,10,8,3,3.989942587785134,0.03395271301269531
10,10,10,8,4,4.0489741761937506,0.03427529335021973
10,10,10,8,5,4.024343138481784,0.03453969955444336
50,50,50,1,1,54.63134282782806,0.3298783302307129
50,50,50,1,2,53.26931478473923,0.32756996154785156
50,50,50,1,3,53.295515286485404,0.33243489265441895
50,50,50,1,4,54.36808665815206,0.32982587814331055
50,50,50,1,5,53.9400219175249,0.3384559154510498
50,50,50,2,1,55.95898296246948,0.18102312088012695
50,50,50,2,2,56.27262987313928,0.17734050750732422
50,50,50,2,3,52.24695924566495,0.19327330589294434
50,50,50,2,4,56.153066723763,0.17748785018920898
50,50,50,2,5,52.9887811202737,0.19605636596679688
50,50,50,3,1,54.65352547900351,0.15128540992736816
50,50,50,3,2,55.05536522970503,0.13373804092407227
50,50,50,3,3,52.35861518354601,0.13962650299072266
50,50,50,3,4,56.68935870760143,0.13765645027160645
50,50,50,3,5,51.73708438164138,0.13072443008422852
50,50,50,4,1,51.9679350851977,0.11399674415588379
50,50,50,4,2,55.235267146319366,0.10740470886230469
50,50,50,4,3,52.859435055695094,0.11789655685424805
50,50,50,4,4,54.631893782776814,0.11123013496398926
50,50,50,4,5,54.73381131866063,0.11420917510986328
50,50,50,5,1,52.775642708432905,0.1212317943572998
50,50,50,5,2,53.47500883324827,0.10583186149597168
50,50,50,5,3,51.10227942436487,0.09459877014160156
50,50,50,5,4,53.2557683437236,0.10561776161193848
50,50,50,5,5,56.48405255127406,0.0983889102935791
50,50,50,6,1,54.85065737552411,0.12358665466308594
50,50,50,6,2,54.51668325850962,0.08443617820739746
50,50,50,6,3,55.39512064683002,0.09479951858520508
50,50,50,6,4,53.91056055315018,0.10220980644226074
50,50,50,6,5,55.827871716131,0.0962681770324707
50,50,50,7,1,54.31500245974444,0.08085227012634277
50,50,50,7,2,52.18221730239477,0.08395504951477051
50,50,50,7,3,51.3346856549111,0.08687901496887207
50,50,50,7,4,54.91699488672919,0.08473658561706543
50,50,50,7,5,52.746500254868266,0.07920694351196289
50,50,50,8,1,53.49240507901826,0.08455276489257812
50,50,50,8,2,53.44397811993318,0.08411788940429688
50,50,50,8,3,54.14438173569011,0.07921409606933594
50,50,50,8,4,55.771281692388165,0.08424782752990723
50,50,50,8,5,55.44673912746546,0.08456087112426758
100,100,100,1,1,89.4674533904155,0.9518167972564697
100,100,100,1,2,91.81609267790402,0.950641393661499
100,100,100,1,3,89.89530362238949,0.9617931842803955
100,100,100,1,4,89.80963908983688,0.9569625854492188
100,100,100,1,5,88.3165699881002,0.9474825859069824
100,100,100,2,1,87.6540130000375,0.4858260154724121
100,100,100,2,2,87.3542564764705,0.49243807792663574
100,100,100,2,3,87.51570366099915,0.4856686592102051
100,100,100,2,4,87.74289148233582,0.5029153823852539
100,100,100,2,5,90.64496998757244,0.4975707530975342
100,100,100,3,1,88.22333615711061,0.3444995880126953
100,100,100,3,2,88.54773763535823,0.35590243339538574
100,100,100,3,3,89.53295100834534,0.35733532905578613
100,100,100,3,4,90.66554582748414,0.3495783805847168
100,100,100,3,5,88.19218432641517,0.34897708892822266
100,100,100,4,1,88.8164973449357,0.28322601318359375
100,100,100,4,2,89.02121387104262,0.26456570625305176
100,100,100,4,3,87.43252209627317,0.28014659881591797
100,100,100,4,4,89.43812370348569,0.2680168151855469
100,100,100,4,5,89.06495872831348,0.2739081382751465
100,100,100,5,1,87.75608747498788,0.21863555908203125
100,100,100,5,2,89.71139748981794,0.22090721130371094
100,100,100,5,3,87.8490250695831,0.22783946990966797
100,100,100,5,4,89.66403742331832,0.22807979583740234
100,100,100,5,5,89.39513202452979,0.22850942611694336
100,100,100,6,1,89.5730952003229,0.20641112327575684
100,100,100,6,2,89.10181889674706,0.20623230934143066
100,100,100,6,3,89.6963235673133,0.21297860145568848
100,100,100,6,4,89.00003547416902,0.20468401908874512
100,100,100,6,5,87.36383439926583,0.21640896797180176
100,100,100,7,1,86.9220618616633,0.17802143096923828
100,100,100,7,2,86.96246602730132,0.1872997283935547
100,100,100,7,3,90.28471160722155,0.1799771785736084
100,100,100,7,4,90.25676010504823,0.18402433395385742
100,100,100,7,5,87.76115120228587,0.19303202629089355
100,100,100,8,1,89.38210993324292,0.1947925090789795
100,100,100,8,2,88.09582128358846,0.19297575950622559
100,100,100,8,3,88.15237990086645,0.19747304916381836
100,100,100,8,4,90.07864599055655,0.2089991569519043
100,100,100,8,5,89.57726137560775,0.1892406940460205
200,200,200,1,1,129.71958469595538,3.1047656536102295
200,200,200,1,2,130.36522356967942,3.076719284057617
200,200,200,1,3,129.37913174233856,3.090073347091675
200,200,200,1,4,130.69348509578484,3.082561731338501
200,200,200,1,5,129.36981115297348,3.1504433155059814
200,200,200,2,1,130.7232092881529,1.594547986984253
200,200,200,2,2,129.74664068192422,1.599621057510376
200,200,200,2,3,129.30744514202706,1.5891449451446533
200,200,200,2,4,130.52724715124094,1.6100633144378662
200,200,200,2,5,128.5008524000675,1.5762207508087158
200,200,200,3,1,130.8152050132378,1.0841853618621826
200,200,200,3,2,130.6638165972181,1.083463191986084
200,200,200,3,3,129.4189549847047,1.1057195663452148
200,200,200,3,4,131.03257841739742,1.0864381790161133
200,200,200,3,5,129.75004373942488,1.088862419128418
200,200,200,4,1,131.6966296279265,0.8319885730743408
200,200,200,4,2,130.2081428884284,0.8344435691833496
200,200,200,4,3,130.99586996469344,0.8293478488922119
200,200,200,4,4,130.71118788062918,0.8277041912078857
200,200,200,4,5,129.55738507347678,0.8259966373443604
200,200,200,5,1,130.20254984075436,0.6878519058227539
200,200,200,5,2,132.23529965302671,0.6824450492858887
200,200,200,5,3,128.9283101473032,0.6902480125427246
200,200,200,5,4,128.7474203989788,0.6637849807739258
200,200,200,5,5,130.9551312231335,0.6603963375091553
200,200,200,6,1,128.85509106509565,0.559326171875
200,200,200,6,2,129.94591243516618,0.5859620571136475
200,200,200,6,3,127.93063260746584,0.5869550704956055
200,200,200,6,4,130.80748463252965,0.5824384689331055
200,200,200,6,5,129.91743166286986,0.5879592895507812
200,200,200,7,1,129.5225937825486,0.5251383781433105
200,200,200,7,2,129.25021826318812,0.5290544033050537
200,200,200,7,3,130.93466288650555,0.5107712745666504
200,200,200,7,4,130.14878363534532,0.5201830863952637
200,200,200,7,5,129.88547938384494,0.5212562084197998
200,200,200,8,1,129.8994642777533,0.5168704986572266
200,200,200,8,2,131.10003953084558,0.5149168968200684
200,200,200,8,3,129.02250068101196,0.5275306701660156
200,200,200,8,4,130.07522391219985,0.7439444065093994
200,200,200,8,5,128.5648685686841,0.5187947750091553
